"NOTE: Please only add links to single cams here with single locations, rather than links to summaries or search pages.","Add aggregators to the aggregator sheet (see tabs below). Move dead cameras to ""Dead cameras"" sheet.",,"Add the iframe. Whatever is between ""<iframe"" and ""</iframe>""",
http://www.ustream.tv/channel/hurricane-sandy-ac,"Atlantic City, NJ",https://secure-static-cdn1.ustream.tv/livethumb/1_12423918_160x120_b.jpg,"<iframe width=""480"" height=""302"" src=""http://www.ustream.tv/embed/12423918?v=3&amp;wmode=direct"" scrolling=""no"" frameborder=""0"" style=""border: 0px none transparent;"">    </iframe>",
http://www.ustream.tv/channel/hurricane-sandy-brkln-1,"East River, Mid-town Manhattan, NY",https://secure-static-cdn1.ustream.tv/livethumb/1_12423431_160x120_b.jpg,"<iframe width=""480"" height=""392"" src=""http://www.ustream.tv/embed/12423431?v=3&amp;wmode=direct"" scrolling=""no"" frameborder=""0"" style=""border: 0px none transparent;"">    </iframe>",
http://www.ustream.tv/channel/hurricane-sandy-brkln-2,"East River, Lower Manhattan, NY",https://secure-static-cdn1.ustream.tv/livethumb/1_12425101_160x120_b.jpg,"<iframe width=""480"" height=""392"" src=""http://www.ustream.tv/embed/12425101?v=3&amp;wmode=direct"" scrolling=""no"" frameborder=""0"" style=""border: 0px none transparent;"">    </iframe>",
http://www.ustream.tv/channel/hurricane-sandy-live-bronx-ny,"Bronx, NY",https://secure-static-cdn1.ustream.tv/livethumb/1_12423392_160x120_b.jpg,"<iframe width=""480"" height=""302"" src=""http://www.ustream.tv/embed/12423392?v=3&amp;wmode=direct"" scrolling=""no"" frameborder=""0"" style=""border: 0px none transparent;"">    </iframe>",
http://www.justin.tv/atlanticcity911,"Atlantic City, NJ",,"<iframe frameborder=""0"" scrolling=""no"" id=""chat_embed"" src=""http://www.justin.tv/chat/embed?channel=atlanticcity911&amp;default_chat=jtv&amp;popout_chat=true#r=-rid-&amp;s=em""height=""500"" width=""300""></iframe>",
http://www.justin.tv/roundhouse27,"Manhattan, New York City, NY",,"<iframe frameborder=""0"" scrolling=""no"" id=""chat_embed"" src=""http://www.justin.tv/chat/embed?channel=roundhouse27&amp;default_chat=jtv&amp;popout_chat=true#r=-rid-&amp;s=em""height=""500"" width=""300""></iframe>",
http://justin.tv/technologee#/w/4066352304/2,"Co-op City, Bronx, NY",,"<iframe frameborder=""0"" scrolling=""no"" id=""chat_embed"" src=""http://www.justin.tv/chat/embed?channel=atlanticcity911&amp;default_chat=jtv&amp;popout_chat=true#r=-rid-&amp;s=em""height=""500"" width=""300""></iframe>",
http://www.earthcam.com/usa/newyork/statueofliberty/?cam=liberty_hd,"Liberty Island, NY",,,
http://www.earthcam.com/usa/newyork/timessquare/?cam=tsrobo3,"Times Square, New York City, NY",,,
http://www.earthcam.com/usa/newjersey/jerseycity/,"Jersey City, NJ",,,
http://aws1.earthcam.com/?c=bb,"Brooklyn, NY",,,View of the Brooklyn an Manhattan bridges
https://www.dropcam.com/p/xsIXNn,"Jersey CIty, NJ",,,boat cam
http://fagers.com/sandycams.html,"ocean city, MD",,, (intense!) 
https://www.nytimes.com/interactive/2012/10/28/nyregion/nyt-webcam.html?smid=tw-nytimes,"new york times, new york, ny",,,
http://www.strathmere.tv/,"Strathmere, NJ",,,java netcam
http://www.ustream.tv/channel/chasercam-live,"Cape May, NJ",,,Storm Chaser Cam
http://www.ustream.tv/gfqlive,"Queens, NY",,,
http://www.ustream.tv/channel/2492744,"Ware, MA",,,
http://www.ustream.tv/channel/oakstudios,"Brooklyn, NY",,,
